state	yr	qtr	index_nsa	index_sa	note
AK	1991	1	100.00	100.00	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1991	2	99.76	99.56	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1991	3	101.33	100.67	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1991	4	100.37	100.89	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1992	1	101.92	101.90	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1992	2	103.11	102.87	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1992	3	104.71	104.04	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1992	4	104.29	104.90	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1993	1	103.70	103.64	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1993	2	106.72	106.40	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1993	3	107.79	107.15	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1993	4	109.61	110.31	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1994	1	111.58	111.49	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1994	2	112.68	112.26	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1994	3	114.06	113.46	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1994	4	112.67	113.41	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1995	1	115.61	115.53	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1995	2	117.70	117.18	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1995	3	118.97	118.39	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1995	4	118.94	119.68	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1996	1	122.29	122.31	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1996	2	123.41	122.81	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1996	3	122.03	121.42	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1996	4	124.65	125.36	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1997	1	124.52	124.72	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1997	2	126.01	125.30	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1997	3	127.51	126.85	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1997	4	127.02	127.62	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
