state	yr	qtr	index_nsa	index_sa	Warning
AK	1991	1	100.00	100.00	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1991	2	100.72	100.16	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1991	3	101.58	100.94	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1991	4	102.48	102.26	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	1	102.36	102.30	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	2	104.08	103.51	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	3	105.00	104.31	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	4	104.26	104.16	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	1	105.12	104.95	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	2	107.08	106.49	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	3	108.22	107.53	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	4	110.50	110.50	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	1	111.06	110.76	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	2	111.36	110.71	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	3	112.70	112.07	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	4	111.21	111.24	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	1	114.75	114.40	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	2	116.54	115.79	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	3	117.77	117.16	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	4	117.35	117.38	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	1	120.86	120.57	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	2	121.10	120.20	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	3	120.81	120.20	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	4	123.18	123.19	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	1	123.26	123.15	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	2	124.81	123.73	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	3	125.22	124.53	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	4	125.54	125.56	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	1	125.73	125.85	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	2	129.26	127.99	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	3	130.14	129.29	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	4	130.98	131.04	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	1	131.41	131.77	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	2	134.02	132.64	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	3	134.55	133.42	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	4	130.71	130.91	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	1	133.22	133.70	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	2	136.86	135.45	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	3	138.05	136.65	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	4	136.53	136.90	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	1	140.06	140.55	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	2	144.42	143.02	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	3	147.09	145.42	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	4	147.98	148.51	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	1	148.99	149.43	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	2	153.46	152.10	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	3	157.96	156.06	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	4	156.58	157.15	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	1	159.82	160.31	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	2	164.27	162.86	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	3	166.73	164.65	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	4	170.34	170.98	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	1	175.07	175.70	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	2	178.78	177.13	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	3	185.51	183.21	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	4	187.57	188.22	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	1	192.57	193.56	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	2	199.71	197.49	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	3	206.74	204.34	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	4	207.66	208.28	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	1	210.99	212.39	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	2	219.08	216.33	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	3	220.40	218.00	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	4	219.29	219.66	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	1	221.28	223.24	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	2	229.21	226.06	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	3	227.01	224.50	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	4	221.93	222.20	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	1	217.44	219.60	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	2	226.51	223.46	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	3	223.92	221.22	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	4	224.32	224.45	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	1	223.72	226.29	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	2	218.64	215.79	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	3	217.55	214.57	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	4	215.80	215.95	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	1	212.82	215.39	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	2	222.39	219.77	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	3	226.39	222.89	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	4	220.35	220.40	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	1	222.60	225.66	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	2	226.11	223.50	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	3	228.16	224.36	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	4	223.41	223.43	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	1	216.16	219.29	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	2	227.04	224.45	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	3	231.72	227.85	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	4	228.59	228.30	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	1	227.70	231.34	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	2	235.47	232.65	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	3	234.45	230.75	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	4	232.35	231.77	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2014	1	227.04	230.70	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2014	2	237.50	234.70	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2014	3	241.31	237.81	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2014	4	243.74	242.71	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2015	1	241.57	245.56	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2015	2	248.00	245.11	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2015	3	250.59	247.14	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2015	4	250.24	249.01	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2016	1	246.48	250.40	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2016	2	255.53	252.72	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AL	1991	1	100.00	100.00	
AL	1991	2	101.65	101.30	
AL	1991	3	102.78	102.08	
AL	1991	4	103.42	102.80	
AL	1992	1	104.38	104.39	
AL	1992	2	104.61	104.24	
AL	1992	3	107.00	106.27	
AL	1992	4	108.49	107.89	
AL	1993	1	109.00	109.00	
AL	1993	2	110.09	109.65	
AL	1993	3	112.20	111.44	
AL	1993	4	113.38	112.81	
AL	1994	1	114.19	114.16	
AL	1994	2	116.38	115.87	
